"","target","id","set_split","problem","timepoint","values"
"1","1","1_Beef","Train","Beef",1,-0.36292248
"2","1","1_Beef","Train","Beef",2,-0.36532777
"3","1","1_Beef","Train","Beef",3,-0.387812
"4","1","1_Beef","Train","Beef",4,-0.40559023
"5","1","1_Beef","Train","Beef",5,-0.39900183
"6","1","1_Beef","Train","Beef",6,-0.3665827
"7","1","1_Beef","Train","Beef",7,-0.32454241
"8","1","1_Beef","Train","Beef",8,-0.31732654
"9","1","1_Beef","Train","Beef",9,-0.32652939
"10","1","1_Beef","Train","Beef",10,-0.30488178
"11","1","1_Beef","Train","Beef",11,-0.27716865
"12","1","1_Beef","Train","Beef",12,-0.2717306
"13","1","1_Beef","Train","Beef",13,-0.27580914
"14","1","1_Beef","Train","Beef",14,-0.2486189
"15","1","1_Beef","Train","Beef",15,-0.19570251
"16","1","1_Beef","Train","Beef",16,-0.17907464
"17","1","1_Beef","Train","Beef",17,-0.15146609
"18","1","1_Beef","Train","Beef",18,-0.10053668
"19","1","1_Beef","Train","Beef",19,-0.084117962
"20","1","1_Beef","Train","Beef",20,-0.065607685
"21","1","1_Beef","Train","Beef",21,-0.052430877
"22","1","1_Beef","Train","Beef",22,-0.026913885
"23","1","1_Beef","Train","Beef",23,0.0054006665
"24","1","1_Beef","Train","Beef",24,0.033009215
"25","1","1_Beef","Train","Beef",25,0.07630444
"26","1","1_Beef","Train","Beef",26,0.09324605
"27","1","1_Beef","Train","Beef",27,0.10506335
"28","1","1_Beef","Train","Beef",28,0.13601838
"29","1","1_Beef","Train","Beef",29,0.18767984
"30","1","1_Beef","Train","Beef",30,0.22595532
"31","1","1_Beef","Train","Beef",31,0.2425832
"32","1","1_Beef","Train","Beef",32,0.26308046
"33","1","1_Beef","Train","Beef",33,0.27772135
"34","1","1_Beef","Train","Beef",34,0.29006154
"35","1","1_Beef","Train","Beef",35,0.30804893
"36","1","1_Beef","Train","Beef",36,0.37267803
"37","1","1_Beef","Train","Beef",37,0.42465321
"38","1","1_Beef","Train","Beef",38,0.40928027
"39","1","1_Beef","Train","Beef",39,0.4129405
"40","1","1_Beef","Train","Beef",40,0.45654946
"41","1","1_Beef","Train","Beef",41,0.49336085
"42","1","1_Beef","Train","Beef",42,0.51103451
"43","1","1_Beef","Train","Beef",43,0.51427642
"44","1","1_Beef","Train","Beef",44,0.54094377
"45","1","1_Beef","Train","Beef",45,0.60233096
"46","1","1_Beef","Train","Beef",46,0.64290716
"47","1","1_Beef","Train","Beef",47,0.66612344
"48","1","1_Beef","Train","Beef",48,0.71046444
"49","1","1_Beef","Train","Beef",49,0.76087096
"50","1","1_Beef","Train","Beef",50,0.81629721
"51","1","1_Beef","Train","Beef",51,0.87716152
"52","1","1_Beef","Train","Beef",52,0.88793303
