"","target","id","set_split","problem","timepoint","values"
"1","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",1,7
"2","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",2,3
"3","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",3,6
"4","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",4,11
"5","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",5,8
"6","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",6,6
"7","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",7,6
"8","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",8,10
"9","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",9,4
"10","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",10,7
"11","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",11,4
"12","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",12,1
"13","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",13,7
"14","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",14,2
"15","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",15,2
"16","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",16,7
"17","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",17,5
"18","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",18,2
"19","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",19,1
"20","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",20,5
"21","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",21,0
"22","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",22,3
"23","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",23,3
"24","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",24,2
"25","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",25,4
"26","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",26,4
"27","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",27,4
"28","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",28,3
"29","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",29,1
"30","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",30,4
"31","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",31,0
"32","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",32,5
"33","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",33,4
"34","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",34,0
"35","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",35,1
"36","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",36,1
"37","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",37,4
"38","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",38,1
"39","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",39,0
"40","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",40,0
"41","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",41,3
"42","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",42,5
"43","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",43,2
"44","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",44,1
"45","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",45,2
"46","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",46,3
"47","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",47,1
"48","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",48,3
"49","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",49,0
"50","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",50,1
"51","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",51,3
"52","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",52,1
"53","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",53,0
"54","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",54,3
"55","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",55,1
"56","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",56,1
"57","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",57,3
"58","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",58,3
"59","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",59,5
"60","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",60,4
"61","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",61,5
"62","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",62,3
"63","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",63,2
"64","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",64,2
"65","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",65,3
"66","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",66,12
"67","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",67,5
"68","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",68,8
"69","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",69,11
"70","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",70,6
"71","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",71,6
"72","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",72,10
"73","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",73,9
"74","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",74,15
"75","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",75,19
"76","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",76,13
"77","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",77,17
"78","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",78,17
"79","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",79,22
"80","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",80,27
"81","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",81,29
"82","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",82,17
"83","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",83,26
"84","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",84,28
"85","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",85,32
"86","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",86,43
"87","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",87,40
"88","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",88,48
"89","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",89,34
"90","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",90,33
"91","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",91,36
"92","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",92,30
"93","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",93,35
"94","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",94,49
"95","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",95,29
"96","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",96,35
"97","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",97,42
"98","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",98,41
"99","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",99,33
"100","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",100,42
"101","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",101,41
"102","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",102,38
"103","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",103,39
"104","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",104,33
"105","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",105,50
"106","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",106,42
"107","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",107,42
"108","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",108,48
"109","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",109,44
"110","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",110,34
"111","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",111,39
"112","1","1_DodgerLoopWeekend","Train","DodgerLoopWeekend",112,45
