"","target","id","set_split","problem","timepoint","values"
"1","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",1,-0.71051757
"2","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",2,-1.1833204
"3","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",3,-1.3724416
"4","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",4,-1.5930829
"5","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",5,-1.4670021
"6","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",6,-1.3724416
"7","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",7,-1.0887599
"8","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",8,0.045966947
"9","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",9,0.92853223
"10","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",10,1.0861332
"11","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",11,1.2752543
"12","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",12,0.96005242
"13","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",13,0.61333034
"14","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",14,0.014446758
"15","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",15,-0.6474772
"16","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",16,-0.26923494
"17","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",17,-0.20619456
"18","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",18,0.61333034
"19","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",19,1.3698149
"20","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",20,1.4643754
"21","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",21,1.054613
"22","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",22,0.58181015
"23","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",23,0.1720477
"24","1","1_ItalyPowerDemand","Train","ItalyPowerDemand",24,-0.26923494
"25","1","2_ItalyPowerDemand","Train","ItalyPowerDemand",1,-0.99300935
"26","1","2_ItalyPowerDemand","Train","ItalyPowerDemand",2,-1.4267865
"27","1","2_ItalyPowerDemand","Train","ItalyPowerDemand",3,-1.5798843
"28","1","2_ItalyPowerDemand","Train","ItalyPowerDemand",4,-1.6054006
"29","1","2_ItalyPowerDemand","Train","ItalyPowerDemand",5,-1.6309169
"30","1","2_ItalyPowerDemand","Train","ItalyPowerDemand",6,-1.3757539
"31","1","2_ItalyPowerDemand","Train","ItalyPowerDemand",7,-1.0185257
