Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
Beef,original,catch24,1,0.5,0.5
Beef,original,catch24,2,0.8333333333333334,0.8
Beef,original,catch24,3,0.5,0.5
Beef,original,catch24,4,0.3333333333333333,0.3
Beef,original,catch24,5,0.5,0.6
Beef,original,catch24,6,0.6666666666666666,0.6
Beef,original,catch24,7,0.6666666666666666,0.6
Beef,original,catch24,8,0.16666666666666666,0.2
Beef,original,catch24,9,0.6666666666666666,0.7
Beef,original,catch24,10,0.16666666666666666,0.1
Beef,shuffle,catch24,1,0.5,0.5
Beef,shuffle,catch24,2,0.8333333333333334,0.8
Beef,shuffle,catch24,3,0.5,0.5
Beef,shuffle,catch24,4,0.3333333333333333,0.3
Beef,shuffle,catch24,5,0.5,0.6
Beef,shuffle,catch24,6,0.6666666666666666,0.6
Beef,shuffle,catch24,7,0.6666666666666666,0.6
Beef,shuffle,catch24,8,0.16666666666666666,0.2
Beef,shuffle,catch24,9,0.6666666666666666,0.7
Beef,shuffle,catch24,10,0.16666666666666666,0.1
Beef,fft,catch24,1,0.6666666666666666,0.7
Beef,fft,catch24,2,0.5,0.4
Beef,fft,catch24,3,0.5,0.5
Beef,fft,catch24,4,0.3333333333333333,0.3
Beef,fft,catch24,5,0.6666666666666666,0.7
Beef,fft,catch24,6,0.3333333333333333,0.4
Beef,fft,catch24,7,0.0,0.0
Beef,fft,catch24,8,0.0,0.0
Beef,fft,catch24,9,0.0,0.0
Beef,fft,catch24,10,0.5,0.6
Beef,iafft,catch24,1,0.5,0.5
Beef,iafft,catch24,2,0.8333333333333334,0.8
Beef,iafft,catch24,3,0.5,0.5
Beef,iafft,catch24,4,0.3333333333333333,0.3
Beef,iafft,catch24,5,0.5,0.6
Beef,iafft,catch24,6,0.6666666666666666,0.6
Beef,iafft,catch24,7,0.6666666666666666,0.6
Beef,iafft,catch24,8,0.16666666666666666,0.2
Beef,iafft,catch24,9,0.6666666666666666,0.7
Beef,iafft,catch24,10,0.16666666666666666,0.1
