Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
DodgerLoopWeekend,original,catch24,1,0.8666666666666667,0.8500000000000001
DodgerLoopWeekend,original,catch24,2,1.0,1.0
DodgerLoopWeekend,original,catch24,3,1.0,1.0
DodgerLoopWeekend,original,catch24,4,1.0,1.0
DodgerLoopWeekend,original,catch24,5,0.9285714285714286,0.875
DodgerLoopWeekend,original,catch24,6,1.0,1.0
DodgerLoopWeekend,original,catch24,7,0.8571428571428571,0.825
DodgerLoopWeekend,original,catch24,8,0.9285714285714286,0.95
DodgerLoopWeekend,original,catch24,9,0.8571428571428571,0.825
DodgerLoopWeekend,original,catch24,10,0.9285714285714286,0.875
DodgerLoopWeekend,shuffle,catch24,1,0.8666666666666667,0.8500000000000001
DodgerLoopWeekend,shuffle,catch24,2,1.0,1.0
DodgerLoopWeekend,shuffle,catch24,3,1.0,1.0
DodgerLoopWeekend,shuffle,catch24,4,1.0,1.0
DodgerLoopWeekend,shuffle,catch24,5,0.9285714285714286,0.875
DodgerLoopWeekend,shuffle,catch24,6,1.0,1.0
DodgerLoopWeekend,shuffle,catch24,7,0.8571428571428571,0.825
DodgerLoopWeekend,shuffle,catch24,8,0.9285714285714286,0.95
DodgerLoopWeekend,shuffle,catch24,9,0.8571428571428571,0.825
DodgerLoopWeekend,shuffle,catch24,10,0.9285714285714286,0.875
DodgerLoopWeekend,fft,catch24,1,0.8666666666666667,0.8500000000000001
DodgerLoopWeekend,fft,catch24,2,1.0,1.0
DodgerLoopWeekend,fft,catch24,3,0.9333333333333333,0.95
DodgerLoopWeekend,fft,catch24,4,0.8666666666666667,0.9
DodgerLoopWeekend,fft,catch24,5,0.8571428571428571,0.825
DodgerLoopWeekend,fft,catch24,6,1.0,1.0
DodgerLoopWeekend,fft,catch24,7,1.0,1.0
DodgerLoopWeekend,fft,catch24,8,1.0,1.0
DodgerLoopWeekend,fft,catch24,9,0.9285714285714286,0.875
DodgerLoopWeekend,fft,catch24,10,0.8571428571428571,0.825
DodgerLoopWeekend,iafft,catch24,1,0.8666666666666667,0.8500000000000001
DodgerLoopWeekend,iafft,catch24,2,1.0,1.0
DodgerLoopWeekend,iafft,catch24,3,1.0,1.0
DodgerLoopWeekend,iafft,catch24,4,1.0,1.0
DodgerLoopWeekend,iafft,catch24,5,0.9285714285714286,0.875
DodgerLoopWeekend,iafft,catch24,6,1.0,1.0
DodgerLoopWeekend,iafft,catch24,7,0.8571428571428571,0.825
DodgerLoopWeekend,iafft,catch24,8,0.9285714285714286,0.95
DodgerLoopWeekend,iafft,catch24,9,0.8571428571428571,0.825
DodgerLoopWeekend,iafft,catch24,10,0.9285714285714286,0.875
