Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
ECG5000,original,catch24,1,0.848,0.7266491920537355
ECG5000,original,catch24,2,0.83,0.5470833282416628
ECG5000,original,catch24,3,0.862,0.48023450197353146
ECG5000,original,catch24,4,0.824,0.5562177850011609
ECG5000,original,catch24,5,0.784,0.4750292804994454
ECG5000,original,catch24,6,0.83,0.7229352733276578
ECG5000,original,catch24,7,0.832,0.5800293307989774
ECG5000,original,catch24,8,0.832,0.7215821153131896
ECG5000,original,catch24,9,0.842,0.6004281641213869
ECG5000,original,catch24,10,0.798,0.502155721296952
ECG5000,shuffle,catch24,1,0.526,0.3388331928032294
ECG5000,shuffle,catch24,2,0.54,0.2894483480584442
ECG5000,shuffle,catch24,3,0.58,0.30264117844336097
ECG5000,shuffle,catch24,4,0.54,0.31110259783814465
ECG5000,shuffle,catch24,5,0.538,0.3061754766142971
ECG5000,shuffle,catch24,6,0.492,0.2859719319970075
ECG5000,shuffle,catch24,7,0.562,0.3398854624106967
ECG5000,shuffle,catch24,8,0.508,0.32355934980664613
ECG5000,shuffle,catch24,9,0.532,0.43106421096327374
ECG5000,shuffle,catch24,10,0.522,0.35105591166453615
ECG5000,fft,catch24,1,0.696,0.5054734235170001
ECG5000,fft,catch24,2,0.694,0.4050284115210244
ECG5000,fft,catch24,3,0.672,0.6155751618811753
ECG5000,fft,catch24,4,0.638,0.37020664035291384
ECG5000,fft,catch24,5,0.678,0.43092562495162917
ECG5000,fft,catch24,6,0.692,0.43109227871939737
ECG5000,fft,catch24,7,0.724,0.513797328002447
ECG5000,fft,catch24,8,0.66,0.48239944506346816
ECG5000,fft,catch24,9,0.684,0.46471144392737757
ECG5000,fft,catch24,10,0.644,0.43728298555229594
ECG5000,iafft,catch24,1,0.724,0.4497216689273683
ECG5000,iafft,catch24,2,0.762,0.4551190432547587
ECG5000,iafft,catch24,3,0.708,0.39773933906044423
ECG5000,iafft,catch24,4,0.726,0.4565013027887418
ECG5000,iafft,catch24,5,0.704,0.47655006062482264
ECG5000,iafft,catch24,6,0.728,0.6427041250677192
ECG5000,iafft,catch24,7,0.75,0.4595120272661729
ECG5000,iafft,catch24,8,0.72,0.47543471848987356
ECG5000,iafft,catch24,9,0.742,0.4459443206397064
ECG5000,iafft,catch24,10,0.704,0.3901243673573239
