Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
GunPointOldVersusYoung,original,catch24,1,1.0,1.0
GunPointOldVersusYoung,original,catch24,2,1.0,1.0
GunPointOldVersusYoung,original,catch24,3,1.0,1.0
GunPointOldVersusYoung,original,catch24,4,1.0,1.0
GunPointOldVersusYoung,original,catch24,5,1.0,1.0
GunPointOldVersusYoung,original,catch24,6,1.0,1.0
GunPointOldVersusYoung,original,catch24,7,1.0,1.0
GunPointOldVersusYoung,original,catch24,8,1.0,1.0
GunPointOldVersusYoung,original,catch24,9,1.0,1.0
GunPointOldVersusYoung,original,catch24,10,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,1,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,2,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,3,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,4,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,5,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,6,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,7,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,8,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,9,1.0,1.0
GunPointOldVersusYoung,shuffle,catch24,10,1.0,1.0
GunPointOldVersusYoung,fft,catch24,1,1.0,1.0
GunPointOldVersusYoung,fft,catch24,2,1.0,1.0
GunPointOldVersusYoung,fft,catch24,3,1.0,1.0
GunPointOldVersusYoung,fft,catch24,4,1.0,1.0
GunPointOldVersusYoung,fft,catch24,5,1.0,1.0
GunPointOldVersusYoung,fft,catch24,6,1.0,1.0
GunPointOldVersusYoung,fft,catch24,7,1.0,1.0
GunPointOldVersusYoung,fft,catch24,8,1.0,1.0
GunPointOldVersusYoung,fft,catch24,9,1.0,1.0
GunPointOldVersusYoung,fft,catch24,10,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,1,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,2,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,3,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,4,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,5,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,6,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,7,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,8,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,9,1.0,1.0
GunPointOldVersusYoung,iafft,catch24,10,1.0,1.0
