Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
InlineSkate,original,catch24,1,0.5076923076923077,0.5428571428571429
InlineSkate,original,catch24,2,0.5230769230769231,0.5329004329004329
InlineSkate,original,catch24,3,0.4461538461538462,0.4601731601731601
InlineSkate,original,catch24,4,0.5692307692307692,0.5871057513914656
InlineSkate,original,catch24,5,0.5692307692307692,0.5892702535559678
InlineSkate,original,catch24,6,0.5076923076923077,0.5419913419913419
InlineSkate,original,catch24,7,0.36923076923076925,0.3950216450216451
InlineSkate,original,catch24,8,0.4461538461538462,0.45909090909090905
InlineSkate,original,catch24,9,0.4153846153846154,0.4332096474953618
InlineSkate,original,catch24,10,0.5076923076923077,0.5224489795918367
InlineSkate,shuffle,catch24,1,0.18461538461538463,0.1948051948051948
InlineSkate,shuffle,catch24,2,0.2153846153846154,0.2354978354978355
InlineSkate,shuffle,catch24,3,0.18461538461538463,0.1722943722943723
InlineSkate,shuffle,catch24,4,0.18461538461538463,0.18159142444856727
InlineSkate,shuffle,catch24,5,0.18461538461538463,0.20511234796949082
InlineSkate,shuffle,catch24,6,0.16923076923076924,0.1616883116883117
InlineSkate,shuffle,catch24,7,0.07692307692307693,0.09999999999999999
InlineSkate,shuffle,catch24,8,0.2153846153846154,0.220995670995671
InlineSkate,shuffle,catch24,9,0.1076923076923077,0.10222634508348794
InlineSkate,shuffle,catch24,10,0.2,0.19134199134199137
InlineSkate,fft,catch24,1,0.24615384615384617,0.26017316017316017
InlineSkate,fft,catch24,2,0.27692307692307694,0.26645021645021644
InlineSkate,fft,catch24,3,0.23076923076923078,0.22489177489177492
InlineSkate,fft,catch24,4,0.23076923076923078,0.23979591836734696
InlineSkate,fft,catch24,5,0.35384615384615387,0.386456400742115
InlineSkate,fft,catch24,6,0.4,0.44480519480519476
InlineSkate,fft,catch24,7,0.16923076923076924,0.19264069264069267
InlineSkate,fft,catch24,8,0.18461538461538463,0.19761904761904764
InlineSkate,fft,catch24,9,0.3384615384615385,0.34390847247990103
InlineSkate,fft,catch24,10,0.2923076923076923,0.3049474335188621
InlineSkate,iafft,catch24,1,0.23076923076923078,0.2432900432900433
InlineSkate,iafft,catch24,2,0.3076923076923077,0.37012987012987014
InlineSkate,iafft,catch24,3,0.24615384615384617,0.26774891774891774
InlineSkate,iafft,catch24,4,0.3230769230769231,0.3515563801278087
InlineSkate,iafft,catch24,5,0.24615384615384617,0.26045145330859615
InlineSkate,iafft,catch24,6,0.24615384615384617,0.270995670995671
InlineSkate,iafft,catch24,7,0.18461538461538463,0.21190476190476187
InlineSkate,iafft,catch24,8,0.35384615384615387,0.39588744588744584
InlineSkate,iafft,catch24,9,0.24615384615384617,0.26821273964131104
InlineSkate,iafft,catch24,10,0.36923076923076925,0.3813234384662955
