Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
InsectEPGRegularTrain,original,catch24,1,1.0,1.0
InsectEPGRegularTrain,original,catch24,2,1.0,1.0
InsectEPGRegularTrain,original,catch24,3,1.0,1.0
InsectEPGRegularTrain,original,catch24,4,1.0,1.0
InsectEPGRegularTrain,original,catch24,5,1.0,1.0
InsectEPGRegularTrain,original,catch24,6,1.0,1.0
InsectEPGRegularTrain,original,catch24,7,1.0,1.0
InsectEPGRegularTrain,original,catch24,8,1.0,1.0
InsectEPGRegularTrain,original,catch24,9,0.967741935483871,0.9777777777777779
InsectEPGRegularTrain,original,catch24,10,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,1,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,2,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,3,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,4,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,5,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,6,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,7,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,8,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,9,1.0,1.0
InsectEPGRegularTrain,shuffle,catch24,10,1.0,1.0
InsectEPGRegularTrain,fft,catch24,1,0.65625,0.6547619047619048
InsectEPGRegularTrain,fft,catch24,2,0.8387096774193549,0.8282828282828284
InsectEPGRegularTrain,fft,catch24,3,0.8064516129032258,0.8343434343434343
InsectEPGRegularTrain,fft,catch24,4,0.6774193548387096,0.6121212121212122
InsectEPGRegularTrain,fft,catch24,5,0.8064516129032258,0.7616161616161617
InsectEPGRegularTrain,fft,catch24,6,0.7096774193548387,0.7313131313131315
InsectEPGRegularTrain,fft,catch24,7,0.6774193548387096,0.595959595959596
InsectEPGRegularTrain,fft,catch24,8,0.7096774193548387,0.6868686868686869
InsectEPGRegularTrain,fft,catch24,9,0.7741935483870968,0.7838383838383839
InsectEPGRegularTrain,fft,catch24,10,0.7419354838709677,0.663059163059163
InsectEPGRegularTrain,iafft,catch24,1,1.0,1.0
InsectEPGRegularTrain,iafft,catch24,2,1.0,1.0
InsectEPGRegularTrain,iafft,catch24,3,1.0,1.0
InsectEPGRegularTrain,iafft,catch24,4,1.0,1.0
InsectEPGRegularTrain,iafft,catch24,5,0.967741935483871,0.9333333333333332
InsectEPGRegularTrain,iafft,catch24,6,1.0,1.0
InsectEPGRegularTrain,iafft,catch24,7,1.0,1.0
InsectEPGRegularTrain,iafft,catch24,8,0.967741935483871,0.9696969696969697
InsectEPGRegularTrain,iafft,catch24,9,0.967741935483871,0.9777777777777779
InsectEPGRegularTrain,iafft,catch24,10,1.0,1.0
