Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
ItalyPowerDemand,original,catch24,1,0.9181818181818182,0.9181818181818182
ItalyPowerDemand,original,catch24,2,0.9181818181818182,0.9181818181818182
ItalyPowerDemand,original,catch24,3,0.8454545454545455,0.8454545454545455
ItalyPowerDemand,original,catch24,4,0.8818181818181818,0.8818181818181818
ItalyPowerDemand,original,catch24,5,0.9,0.8999999999999999
ItalyPowerDemand,original,catch24,6,0.9,0.8999999999999999
ItalyPowerDemand,original,catch24,7,0.8623853211009175,0.8616161616161616
ItalyPowerDemand,original,catch24,8,0.9357798165137615,0.9361952861952862
ItalyPowerDemand,original,catch24,9,0.8990825688073395,0.898989898989899
ItalyPowerDemand,original,catch24,10,0.908256880733945,0.9082491582491583
ItalyPowerDemand,shuffle,catch24,1,0.5727272727272728,0.5727272727272728
ItalyPowerDemand,shuffle,catch24,2,0.4727272727272727,0.4727272727272727
ItalyPowerDemand,shuffle,catch24,3,0.6272727272727273,0.6272727272727272
ItalyPowerDemand,shuffle,catch24,4,0.5545454545454546,0.5545454545454546
ItalyPowerDemand,shuffle,catch24,5,0.5818181818181818,0.5818181818181818
ItalyPowerDemand,shuffle,catch24,6,0.5727272727272728,0.5727272727272728
ItalyPowerDemand,shuffle,catch24,7,0.6055045871559633,0.6047138047138048
ItalyPowerDemand,shuffle,catch24,8,0.5321100917431193,0.532996632996633
ItalyPowerDemand,shuffle,catch24,9,0.5321100917431193,0.532996632996633
ItalyPowerDemand,shuffle,catch24,10,0.5596330275229358,0.5601010101010101
ItalyPowerDemand,fft,catch24,1,0.6727272727272727,0.6727272727272727
ItalyPowerDemand,fft,catch24,2,0.6636363636363637,0.6636363636363636
ItalyPowerDemand,fft,catch24,3,0.6363636363636364,0.6363636363636364
ItalyPowerDemand,fft,catch24,4,0.5909090909090909,0.5909090909090908
ItalyPowerDemand,fft,catch24,5,0.6090909090909091,0.6090909090909091
ItalyPowerDemand,fft,catch24,6,0.6909090909090909,0.6909090909090909
ItalyPowerDemand,fft,catch24,7,0.6788990825688074,0.6787878787878787
ItalyPowerDemand,fft,catch24,8,0.6605504587155964,0.6611111111111111
ItalyPowerDemand,fft,catch24,9,0.7064220183486238,0.7072390572390572
ItalyPowerDemand,fft,catch24,10,0.5871559633027523,0.5878787878787879
ItalyPowerDemand,iafft,catch24,1,0.6636363636363637,0.6636363636363636
ItalyPowerDemand,iafft,catch24,2,0.6545454545454545,0.6545454545454545
ItalyPowerDemand,iafft,catch24,3,0.6818181818181818,0.6818181818181819
ItalyPowerDemand,iafft,catch24,4,0.6454545454545455,0.6454545454545455
ItalyPowerDemand,iafft,catch24,5,0.6636363636363637,0.6636363636363636
ItalyPowerDemand,iafft,catch24,6,0.6090909090909091,0.6090909090909091
ItalyPowerDemand,iafft,catch24,7,0.6513761467889908,0.6511784511784512
ItalyPowerDemand,iafft,catch24,8,0.6788990825688074,0.6792929292929293
ItalyPowerDemand,iafft,catch24,9,0.6605504587155964,0.6609427609427609
ItalyPowerDemand,iafft,catch24,10,0.6788990825688074,0.6792929292929293
