Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
PowerCons,original,catch24,1,0.9166666666666666,0.9166666666666666
PowerCons,original,catch24,2,0.8611111111111112,0.8611111111111112
PowerCons,original,catch24,3,0.9444444444444444,0.9444444444444444
PowerCons,original,catch24,4,0.9722222222222222,0.9722222222222222
PowerCons,original,catch24,5,0.9444444444444444,0.9444444444444444
PowerCons,original,catch24,6,0.8611111111111112,0.8611111111111112
PowerCons,original,catch24,7,0.9444444444444444,0.9444444444444444
PowerCons,original,catch24,8,0.9444444444444444,0.9444444444444444
PowerCons,original,catch24,9,0.9722222222222222,0.9722222222222222
PowerCons,original,catch24,10,0.9166666666666666,0.9166666666666666
PowerCons,shuffle,catch24,1,0.8888888888888888,0.8888888888888888
PowerCons,shuffle,catch24,2,0.8055555555555556,0.8055555555555556
PowerCons,shuffle,catch24,3,0.9444444444444444,0.9444444444444444
PowerCons,shuffle,catch24,4,0.9166666666666666,0.9166666666666666
PowerCons,shuffle,catch24,5,0.8055555555555556,0.8055555555555556
PowerCons,shuffle,catch24,6,0.9166666666666666,0.9166666666666666
PowerCons,shuffle,catch24,7,0.7777777777777778,0.7777777777777778
PowerCons,shuffle,catch24,8,0.9166666666666666,0.9166666666666667
PowerCons,shuffle,catch24,9,0.8333333333333334,0.8333333333333334
PowerCons,shuffle,catch24,10,0.8611111111111112,0.8611111111111112
PowerCons,fft,catch24,1,0.8055555555555556,0.8055555555555556
PowerCons,fft,catch24,2,0.8333333333333334,0.8333333333333334
PowerCons,fft,catch24,3,0.8055555555555556,0.8055555555555556
PowerCons,fft,catch24,4,0.8888888888888888,0.8888888888888888
PowerCons,fft,catch24,5,0.8055555555555556,0.8055555555555556
PowerCons,fft,catch24,6,0.8055555555555556,0.8055555555555556
PowerCons,fft,catch24,7,0.8333333333333334,0.8333333333333333
PowerCons,fft,catch24,8,0.8611111111111112,0.8611111111111112
PowerCons,fft,catch24,9,0.8888888888888888,0.8888888888888888
PowerCons,fft,catch24,10,0.8611111111111112,0.8611111111111112
PowerCons,iafft,catch24,1,0.9166666666666666,0.9166666666666666
PowerCons,iafft,catch24,2,0.8333333333333334,0.8333333333333333
PowerCons,iafft,catch24,3,0.9444444444444444,0.9444444444444444
PowerCons,iafft,catch24,4,0.9722222222222222,0.9722222222222222
PowerCons,iafft,catch24,5,0.8055555555555556,0.8055555555555556
PowerCons,iafft,catch24,6,0.8888888888888888,0.8888888888888888
PowerCons,iafft,catch24,7,0.8055555555555556,0.8055555555555556
PowerCons,iafft,catch24,8,0.9444444444444444,0.9444444444444444
PowerCons,iafft,catch24,9,0.8888888888888888,0.8888888888888888
PowerCons,iafft,catch24,10,0.9166666666666666,0.9166666666666666
