Problem,TS_Type,Feature_Set,Fold_Number,accuracy,balanced_accuracy
Wafer,original,catch24,1,0.99721059972106,0.9984399375975039
Wafer,original,catch24,2,0.99581589958159,0.9976599063962559
Wafer,original,catch24,3,0.99860529986053,0.99921875
Wafer,original,catch24,4,0.9902370990237099,0.9888189935064935
Wafer,original,catch24,5,0.9916201117318436,0.9953125
Wafer,original,catch24,6,0.9930167597765364,0.9844983552631579
Wafer,original,catch24,7,0.9958100558659218,0.9918585526315788
Wafer,original,catch24,8,0.994413407821229,0.996875
Wafer,original,catch24,9,0.9902234636871509,0.9713404605263158
Wafer,original,catch24,10,0.9930167597765364,0.99609375
Wafer,shuffle,catch24,1,0.99721059972106,0.9984399375975039
Wafer,shuffle,catch24,2,0.99581589958159,0.9976599063962559
Wafer,shuffle,catch24,3,0.99860529986053,0.99921875
Wafer,shuffle,catch24,4,0.9902370990237099,0.9888189935064935
Wafer,shuffle,catch24,5,0.9916201117318436,0.9953125
Wafer,shuffle,catch24,6,0.9930167597765364,0.9844983552631579
Wafer,shuffle,catch24,7,0.9958100558659218,0.9918585526315788
Wafer,shuffle,catch24,8,0.994413407821229,0.996875
Wafer,shuffle,catch24,9,0.9902234636871509,0.9713404605263158
Wafer,shuffle,catch24,10,0.9930167597765364,0.99609375
Wafer,fft,catch24,1,0.496513249651325,0.561837999835783
Wafer,fft,catch24,2,0.5216178521617852,0.5874763937925938
Wafer,fft,catch24,3,0.5188284518828452,0.6105113636363637
Wafer,fft,catch24,4,0.49372384937238495,0.5678875811688312
Wafer,fft,catch24,5,0.5223463687150838,0.5704769736842106
Wafer,fft,catch24,6,0.5027932960893855,0.5421463815789473
Wafer,fft,catch24,7,0.5083798882681564,0.5800575657894737
Wafer,fft,catch24,8,0.5167597765363129,0.5615542763157895
Wafer,fft,catch24,9,0.5069832402234636,0.6140625
Wafer,fft,catch24,10,0.4972067039106145,0.5390213815789473
Wafer,iafft,catch24,1,0.99721059972106,0.9984399375975039
Wafer,iafft,catch24,2,0.99581589958159,0.9976599063962559
Wafer,iafft,catch24,3,0.99860529986053,0.99921875
Wafer,iafft,catch24,4,0.9902370990237099,0.9888189935064935
Wafer,iafft,catch24,5,0.9916201117318436,0.9953125
Wafer,iafft,catch24,6,0.9930167597765364,0.9844983552631579
Wafer,iafft,catch24,7,0.9958100558659218,0.9918585526315788
Wafer,iafft,catch24,8,0.994413407821229,0.996875
Wafer,iafft,catch24,9,0.9902234636871509,0.9713404605263158
Wafer,iafft,catch24,10,0.9930167597765364,0.99609375
