"","target","id","set_split","problem","timepoint","values"
"1","1","1_PowerCons","Train","PowerCons",1,0.44
"2","1","1_PowerCons","Train","PowerCons",2,0.4
"3","1","1_PowerCons","Train","PowerCons",3,0.36
"4","1","1_PowerCons","Train","PowerCons",4,0.35
"5","1","1_PowerCons","Train","PowerCons",5,0.35
"6","1","1_PowerCons","Train","PowerCons",6,0.38
"7","1","1_PowerCons","Train","PowerCons",7,0.36
"8","1","1_PowerCons","Train","PowerCons",8,0.35
"9","1","1_PowerCons","Train","PowerCons",9,0.35
"10","1","1_PowerCons","Train","PowerCons",10,0.38
"11","1","1_PowerCons","Train","PowerCons",11,0.38
"12","1","1_PowerCons","Train","PowerCons",12,0.38
"13","1","1_PowerCons","Train","PowerCons",13,0.42
"14","1","1_PowerCons","Train","PowerCons",14,0.45
"15","1","1_PowerCons","Train","PowerCons",15,0.43
"16","1","1_PowerCons","Train","PowerCons",16,0.37
"17","1","1_PowerCons","Train","PowerCons",17,0.66
"18","1","1_PowerCons","Train","PowerCons",18,1.13
"19","1","1_PowerCons","Train","PowerCons",19,1.35
"20","1","1_PowerCons","Train","PowerCons",20,1.09
"21","1","1_PowerCons","Train","PowerCons",21,0.75
"22","1","1_PowerCons","Train","PowerCons",22,0.41
"23","1","1_PowerCons","Train","PowerCons",23,0.37
"24","1","1_PowerCons","Train","PowerCons",24,0.33
"25","1","1_PowerCons","Train","PowerCons",25,0.33
"26","1","1_PowerCons","Train","PowerCons",26,0.4
"27","1","1_PowerCons","Train","PowerCons",27,0.4
"28","1","1_PowerCons","Train","PowerCons",28,0.39
"29","1","1_PowerCons","Train","PowerCons",29,0.4
"30","1","1_PowerCons","Train","PowerCons",30,0.43
"31","1","1_PowerCons","Train","PowerCons",31,0.4
"32","1","1_PowerCons","Train","PowerCons",32,0.35
"33","1","1_PowerCons","Train","PowerCons",33,0.31
"34","1","1_PowerCons","Train","PowerCons",34,0.33
"35","1","1_PowerCons","Train","PowerCons",35,0.33
"36","1","1_PowerCons","Train","PowerCons",36,0.33
"37","1","1_PowerCons","Train","PowerCons",37,0.3
