original,shuffle,fft,iafft,id,problem
7.0,7.0,-2.419235305122293,7.0,1,DodgerLoopWeekend
3.0,3.0,-1.2502314258690768,3.0,1,DodgerLoopWeekend
6.0,6.0,-3.0936110120997826,6.0,1,DodgerLoopWeekend
11.0,11.0,-4.7417444833416535,11.0,1,DodgerLoopWeekend
8.0,8.0,-6.966464154023454,8.0,1,DodgerLoopWeekend
6.0,6.0,-1.7363819764269328,6.0,1,DodgerLoopWeekend
6.0,6.0,1.1710082217566122,6.0,1,DodgerLoopWeekend
10.0,10.0,-0.0908468697031954,10.0,1,DodgerLoopWeekend
4.0,4.0,-0.8241519291201119,4.0,1,DodgerLoopWeekend
7.0,7.0,5.69996654781387,7.0,1,DodgerLoopWeekend
4.0,4.0,0.7203976775176435,4.0,1,DodgerLoopWeekend
1.0,1.0,-0.21123988514555497,1.0,1,DodgerLoopWeekend
7.0,7.0,-6.828969507991443,7.0,1,DodgerLoopWeekend
2.0,2.0,-1.6557998940268672,2.0,1,DodgerLoopWeekend
2.0,2.0,1.7377805699349005,2.0,1,DodgerLoopWeekend
7.0,7.0,-4.56338044935389,7.0,1,DodgerLoopWeekend
5.0,5.0,3.542464631365016,5.0,1,DodgerLoopWeekend
2.0,2.0,-1.9842410553500793,2.0,1,DodgerLoopWeekend
1.0,1.0,0.5222939081824027,1.0,1,DodgerLoopWeekend
5.0,5.0,-4.9704007988970345,5.0,1,DodgerLoopWeekend
0.0,0.0,0.0,0.0,1,DodgerLoopWeekend
3.0,3.0,2.438132479922359,3.0,1,DodgerLoopWeekend
3.0,3.0,0.40565029597427493,3.0,1,DodgerLoopWeekend
2.0,2.0,1.020284236075544,2.0,1,DodgerLoopWeekend
4.0,4.0,-3.999714046789114,4.0,1,DodgerLoopWeekend
4.0,4.0,-3.444665156716938,4.0,1,DodgerLoopWeekend
4.0,4.0,-3.9146818964284495,4.0,1,DodgerLoopWeekend
3.0,3.0,-0.898350042840431,3.0,1,DodgerLoopWeekend
1.0,1.0,-0.7761876364119504,1.0,1,DodgerLoopWeekend
4.0,4.0,-1.7951808093991852,4.0,1,DodgerLoopWeekend
0.0,0.0,0.0,0.0,1,DodgerLoopWeekend
5.0,5.0,2.1758163619974944,5.0,1,DodgerLoopWeekend
4.0,4.0,-1.68850286686874,4.0,1,DodgerLoopWeekend
0.0,0.0,0.0,0.0,1,DodgerLoopWeekend
1.0,1.0,0.3551846412271612,1.0,1,DodgerLoopWeekend
1.0,1.0,0.6032469038098869,1.0,1,DodgerLoopWeekend
4.0,4.0,0.203017768657884,4.0,1,DodgerLoopWeekend
1.0,1.0,0.9683802310672385,1.0,1,DodgerLoopWeekend
0.0,0.0,0.0,0.0,1,DodgerLoopWeekend
0.0,0.0,-0.0,0.0,1,DodgerLoopWeekend
3.0,3.0,2.840199346382102,3.0,1,DodgerLoopWeekend
5.0,5.0,4.748613340138003,5.0,1,DodgerLoopWeekend
2.0,2.0,1.9486335912701878,2.0,1,DodgerLoopWeekend
1.0,1.0,0.5240609213973404,1.0,1,DodgerLoopWeekend
2.0,2.0,-1.678349905277349,2.0,1,DodgerLoopWeekend
3.0,3.0,-0.6553290395552206,3.0,1,DodgerLoopWeekend
